Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged
"Coster, Katie De and Karen Swisher",Child Abuse - Opposing Viewpoints,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Hopkins, Ellen",Crank,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Hopkins, Ellen",Crank,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Garcia, Cristina",Dreaming in Cuban(A Novel),Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Garcia, Cristina",Dreaming in Cuban(A Novel),Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
,Eleanor & Park,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
,Eleanor & Park,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"maas, Sarah J",Empire of Storms,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Yoon, Nicola","Everything, Everything",Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Foer, Jonathan Safran",Extremely Loud and Incredibly Close,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"McMann, Lisa",Fade (Wake Series),Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"McMann, Lisa",Fade (Wake Series),Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Hopkins, Ellen",Fallout,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Lockhart, E",Fly on the Wall,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,COMITTEE REVIEWING 5/2022,,,,,,,
"Rhodes, Jewell Parker",Ghost Boys,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Rhodes, Jewell Parker",Ghost Boys,Eanes,Texas,no,Elementary School,Formal Challenge Filed,In process,,,,,,,,
"Cashore, Kristin",Graceling,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Cashore, Kristin",Graceling,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Gyasi, Yaa",Homegoing,Eanes,Texas,no,High School,Formal Challenge Filed,In process,COMITTEE REVIEWING 5/2022,,,,,,,
"Maas, Sarah J",House of Earth and Blood,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Kendi, Ibram X",How to be an Anti-Racist,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Kendi, Ibram X",How to be an Anti-Racist,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
,How to be an Antiracist,Eanes,Texas,no,Middle School,Formal Challenge Filed,Challenge not valid - book was not available for checkout at library,,,,,,,,
"Jennings, Jazz",I am Jazz,Eanes,Texas,no,Elementary School,Formal Challenge Filed,In process,,,,,,,,
"Sanchez, Erika",I Am Not Your Perfect Mexican Daughter,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Nelson, Jandy",I'll give you the sun,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Hopkins, Ellen",Identical,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Hopkins, Ellen",Impulse,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Hopkins, Ellen",Impulse,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"McCoy, Mary",Indestructible Object,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"McCoy, Mary",Indestructible Object,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Myracle, Lauren","l8r, g8r",Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Albertalli, Becky",Leah on the Offbeat,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Albertalli, Becky",Leah on the Offbeat,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Nabokov, Vladimir",Lolita,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Green, John",Looking for Alaska,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Andrews, Jesse",Me and Earl and the Dying Girl,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Andrews, Jesse",Me and Earl and the Dying Girl,Eanes,Texas,no,High School,Formal Challenge Filed,RETAINED,High School and Middle School,,,,,,,
,"Me, Earl, and the Dying Girl",Eanes,Texas,no,Middle School,Formal Challenge Filed,RETAINED,High School and Middle School,,,,,,,
"Gino, Alex",Melissa (George),Eanes,Texas,no,Elementary School,Formal Challenge Filed,In process,,,,,,,,
"Jackson, Tiffany",Monday's Not Coming,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Silvera, Adam",More Happy Than Not,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Picoult, Jodi",My sister's Keeper,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Norton, Preston",Neanderthal Opens the Door to the University,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
,Not My Idea A book About Whiteness,Eanes,Texas,no,Elementary,Formal Challenge Filed,Retained,,,,,,,,
"Cook, Trish and Brendan Halpin",Notes from the Blender,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Stone, Nic",Odd One Out,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Nielsen, Susin",Optimists Die First,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Nielsen, Susin",Optimists Die First,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
Sapphire,Push,Eanes,Texas,no,High School,Formal Challenge Filed,RETAINED ,5/2022,,,,,,,
"Radziszewicz,
 Tina","Ready or not? : a girl's
 guide to making her own
 decisions about dating,
 love, and sex",Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Radziszewicz,
 Tina","Ready or Not? A Girl's Guide to Making Her Own Decisions About Dating, Love and Sex",Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Woodson,
 Jacqueline",Red at the bone,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Woodson,
 Jacqueline",Red at the bone,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Arnold, Elana K",Red Hood,Eanes,Texas,no,middle School,Formal Challenge Filed,In process,,,,,,,,
"Arnold, Elana K",Red Hood,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Myracle, Lauren",Shine,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Anderson, Laurie Halse",Speak,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Cherry-Paul, Sonja","Stamped for Kids: Racism, AntiRacism and you",Eanes,Texas,no,Elementary School,Formal Challenge Filed,In process,,,,,,,,
"Cherry-Paul, Sonja","Stamped for Kids: Racism, AntiRacism and you",Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Kendi, Ibram X and Jason Reynolds","Stamped: Racism, Antiracism and You",Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Kendi, Ibram X and Jason Reynolds","Stamped: Racism, Antiracism and You",Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-time Indian,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-time Indian,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Schneider, Robyn",The Beginning of Everything,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Joseph, Frederick",The Black Friend: On Being a Better White Person,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Joseph, Frederick",The Black Friend: On Being a Better White Person,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Morrison, Toni",The Bluest Eye,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Johnson, Cathy",The Breakaways,Eanes,Texas,no,Elementary School,Formal Challenge Filed,In process,,,,,,,,
"Johnson, Cathy",The Breakaways,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Foley, Jessie Ann",The Carnival at the Bray,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Ibraham, Marawa",The Girl Guide,Eanes,Texas,no,Elementary School,Formal Challenge Filed,In process,,,,,,,,
"Walls, Jeannette",The Glass Castle,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Walls, Jeannette",The Glass Castle,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Atwood, Margaret",The Handmaid's Tale,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Thomas, Angie",The Hate U Give,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Thomas, Angie",The Hate U Give,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Andrews, Jesse",The Haters,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
,The Holy Bible,Eanes,Texas,no,Elementary School,Formal Challenge Filed,In process,,,,,,,,
,The Holy Bible,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
,The Holy Bible,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Myracle, Lauren",The Infinite Moment of Us,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Lo, Malinda",The Last night at the telegraph club,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Rutkoski, Marie",The Midnight Lie,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Reed, Amy",The Nowhere Girls,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Chbosky, Stephen",The Perks of Being a Wallflower,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Acevedo, Elizabeth",The Poet X,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Kibuishi, Kazu",The Stonekeeper: A Graphic Novel,Eanes,Texas,no,Elementary School,Formal Challenge Filed,In process,,,,,,,,
"Mean, Richelle",The Vampire Academy,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Mean, Richelle",The Vampire Academy,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Asher, Jay",Thirteen Reasons Why,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Tamaki, Mariko and Jillian Tamaki",This One Summer,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Maas, Sarah J",Throne of Glass,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Maas, Sarah J",Throne of Glass,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Maas, Sarah J",Tower of Dawn,Eanes,Texas,no,middle School,Formal Challenge Filed,In process,,,,,,,,
"Maas, Sarah J",Tower of Dawn,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
"Gruen, Sara",Water For Elephants,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Hutchinson, Shaun David",We Are The Ants,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Hutchinson, Shaun David",We Are The Ants,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,
,"We Rise, We Resiste, We Raise Our Voices",Eanes,Texas,no,Middle School,Formal Challenge Filed,Retained,,,,,,,,
"Rooney, Anne",Zombies on the Loose,Eanes,Texas,no,Elementary,Formal Challenge Filed,Retained,,,,,,,,
"Konigsberg, Bill",The Music of What Happens,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,
"Norton, Preston",Neanderthal Opens the Door to the Universe,Chippewa Falls Area Unifed School District,Wisconsin,no,,Formal Challenge Filed,Recommended to retain - waiting for superintendent's decision,,,,,,,,
,Maiden & Princess,Bossier Parish Schools,Louisana,,unclear if these are the two books that the complaint was about ... but,Informal Challenge,EPIC reading ap removed,,,,,,,,
,Prince & Knight,Bossier Parish Schools,Louisana,,unclear if these are the two books that the complaint was about ... but,Informal Challenge,EPIC reading ap removed,,,,,,,,
"Medina, Meg",BURN BABY BURN,Richardson ISD,Texas,,,Informal Challenge,District removed from Middle School,the books were already on a list ,,,,,,,
"King, AS",EVERBODY SEES THE ANTS,Richardson ISD,Texas,,,Informal Challenge,District removed from Middle School,,,,,,,,
"Kobabe, Maia",Gender Queer,Arlington Central School District,New York,n/a,,Formal Challenge Filed,ON shelves during challenge,,,,,,,,
"Alverez, Julia",In the Time of Butterflies,Millford Schools,Ohio,n/a,,Formal Challenge Filed,ON shelves during challenge,,,,,,,,
"Hosseini, Khaled",The Kite Runner,Nampa School District,Idaho,yes,committee said was okay to say,Informal Challenge,banned,,,,,,,,
"Albertalli, Becky",Leah on the Off Beat,Nampa School District,Idaho,yes,committee said was okay to say,Informal Challenge,banned,,,,,,,,
"Wang, Jen",The Prince and the Dressmaker,Nampa School District,Idaho,yes,committee said was okay to say,Informal Challenge,banned,,,,,,,,
"Asher, Jay",Thirteen Reasons Why,Nampa School District,Idaho,yes,committee said was okay to say,Informal Challenge,banned,,,,,,,,
"Slater, Dashka",The 57 Bus,Nampa School District,Idaho,yes,committee said was okay to say,Informal Challenge,banned,,,,,,,,
"Telgemeier, Raina",Drama,Nampa School District,Idaho,yes,committee said was okay to say,Informal Challenge,banned,,,,,,,,
"Green, John",Looking for Alaska,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Morrison, Toni",The Bluest Eye,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Maas, Sarah J",A Court of Mist and Fury,Nampa School District,Idaho,yes,Committee said this wasn't on shelves - it had already been pulled by librarians.,Informal Challenge,banned,,,,,,,,
"Atwood, Margaret",The Handmaid's Tale,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Myracle, Lauren","l8r, g8r",Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Perez, Ashley Hope",Out of Darkness,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Chbosky, Stephen",Peks of Being a Wallflower,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Hopkins, Ellen",Crank,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-time Indian,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Clare, Cassandra",City of Heavenly Fire,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Clare, Cassandra",Clockwork Princess,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Rowell, Rainbow",Eleanor & Park,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Foer, JOnathan Safran",Extremely Loud and INcredibly Close,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"McCormick, Patricia",Sold,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Anderson, Laurie Halse",SPEAK,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Slater, Dashka",The 57 Bus,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship 
my guess is this was due to middle/high schooL?",Informal Challenge,banned,,,,,,,,
"Rapp, Adam",33 Snowfish,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
"Haris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,
,Global Citizenship: Engage in the Politics of a Changing World,Penncrest School District,Pennsylvania,,"was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",No Challenge Filed,Superintendnet paused purchause,,,,,,,,
,"Nevertheless We PErsisted: 48 Voices of Defiance, Strength, and Courage",Penncrest School District,Pennsylvania,,"was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",No Challenge Filed,Superintendnet paused purchause,,,,,,,,
"Oh, Ellen",Finding Junie Kim,Penncrest School District,Pennsylvania,,"was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",No Challenge Filed,Superintendnet paused purchause,,,,,,,,
"Williams, Alicia D.",Genesis Begins Again,Penncrest School District,Pennsylvania,,"was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",No Challenge Filed,Superintendnet paused purchause,,,,,,,,
"Gansworth, Eric",Apple Skin to the Core,Penncrest School District,Pennsylvania,,"was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",No Challenge Filed,Superintendnet paused purchause,memoir,,,,,,,
"Lee, Stacey",Downstairs Girl,Penncrest School District,Pennsylvania,,"was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",No Challenge Filed,Superintendnet paused purchause,,,,,,,,
"Maldonando, Crystal","Fat Chance, Charlie Vega",Penncrest School District,Pennsylvania,,"was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",No Challenge Filed,Superintendnet paused purchause,,,,,,,,
"Knowles, Jo",Read Between the Lines,Penncrest School District,Pennsylvania,,"was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",No Challenge Filed,Superintendnet paused purchause,,,,,,,,
"Reichardt, Marisa",A Shot at Normal,Penncrest School District,Pennsylvania,,"was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",No Challenge Filed,Superintendnet paused purchause,,,,,,,,
"Burgess, Rebecca",How to Be Ace: A Memoir of Growing Up Asexual,Canaan Schools,Vermont,yes,,Formal Challenge Filed,Restricted While Under Investigation - retained in high school library,,,,,,,,
"G, Mady and Jules Zuckerberg",A Quick & Easy Guide to Queer & Trans Identities,Canaan Schools,Vermont,n/a,,Formal Challenge Filed,Retained - High School Library Where iT Was,,,,,,,,
"Newman, Leslea",Heather Has Two Mommies,Canaan Schools,Vermont,n/a,,Formal Challenge Filed,Retained,,,,,,,,
"Kobabe, Maia",Gender Queer,Regional School Unit 40,Maine,n/a,2nd challenge - retained after 1st in October 2021,Formal Challenge Filed,Already Challenged in 2021 - retained,,,,,,,,
"Evison, Jonathan",Lawn Boy,Regional School Unit 40,Maine,na,2nd challenge - retained after 1st in October 2021,Formal Challenge Filed,Already Challenged in 2021 - retained,,,,,,,,
"Morrison, Toni",The Bluest Eye,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
,The Kite Runner,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Gino, Alex",Melissa (George),Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-time Indian,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
,The Glass Castle,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Rowell, Rainbow",Eleanor & Park,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Hutchinson, Shaun David",Brave Face,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Johnson, George M",All Boys Aren't Blue,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Jackson, Tiffany D",Monday's Aren't Coming,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Green, John",Looking for Alaska,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Cabot, Meg","Ready or Not? A Girl's Guide to Making Her Own Decisions About Dating, Love and Sex",Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Anderson, Laurie Halse",SPEAK,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"McCormick, Patricia",Sold,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Gyasi, Yaa",Homegoing,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
,Graceling,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
,The Poet X,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Preston, Natasha",The Cellar,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
,The Art of Dancing in the Rain,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Tamaki, Mariko",This One Summer,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Lockart, E",Fly On the Wall: How One Girl Saw Everything,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
,City of Heavenly Fire,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
,City of Lost Souls,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
,Thirteen Reasons Why,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
,Juliet Takes a Breath,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
,I Am Not Your Perfect Mexican Daughter,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Kobabe, Maia",Gender Queer,Regional School Unit No. 56,Maine,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Reynolds, Jason and Brenden Kieley",All American Boys,Warwick School District,Pennsylvania,,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Pitman, Gayle E",This Day in June,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Johnson, George M",All Boys Aren't Blue,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Morrison, Toni",The Bluest Eye,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,
"Atwood, Margaret",The Handmaid's Tale,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,
"Hosseini, Khaled",The Kite Runner,Catawba County Schools,North Carolina,n/a,Has been appealed to DISTRICT,Formal Challenge Filed,RETAINED,probably on shelves during challenge,,,,,,,
"Backderf, John",My Friend Dahmer,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Goffried, BT",Forever for a Year,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Kuklin, Susan",Beyond Magenta,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Andrews, Jesse","Me, Earl and the Dying Girl",Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,
"Maas, Sarah J",A Court of Mist and Fury,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Maas, Sarah J",A Court of Thorn and Roses,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Jackson, Tiffany D",Monday's Not Coming,Catawba County Schools,North Carolina,yes,,Formal Challenge Filed,Removed MS - Review in process for high school,,removed MS,,,,,,
"Nabokov, Vladimir",Lolita,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Foer, Jonathan Safran",Extremely Loud and INcredibly Close,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Perez, Ashley Hope",Out of Darkness,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Green, John",Looking for Alaska,Catawba County Schools,North Carolina,yes,,Formal Challenge Filed,Removed MS - Review in process for high school,,removed MS,,,,,,
"Picoult, Jodi",Nineteen Minutes,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Sanchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Foley, Jessie Ann",The Carnival at Bray,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Mathieu, Jennifer",The Truth About Alice,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Rowell, Rainbow",Eleanor & Park,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,
"Myracle, Lauren","l8r, g8r",Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Chbosky, Stephen",The Perks of Being a Wallflower,Catawba County Schools,North Carolina,yes,Reviewed at MS level - determined appropriate for older grades. Now moved to determination at HS level.,Formal Challenge Filed,Removed MS - Review in process for high school,,removed MS,,,,,,
"Lockhart, E",Real Live Boyfriends,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Konigsberg, Bill",The Music of What Happens,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,
"Clare, Cassandra",City of Heavenly Fire,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Rapp, Adam",33 Snowfish,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Morrison, Toni",Beloved,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Thompson, Craig",Blankets,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Hopkins, Ellen",Crank,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Foer, Jonathan Safran",Extremely Loud and INcredibly Close,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"McMann, LIsa",Fade,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Hopkins, Ellen",Fallout,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
Anonymous,Go Ask Alice,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Cashore, Kristin",Graceling,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
