level_0,old_index,State,District,Origin of Challenge,Date of Challenge/Removal,Type of Ban,Author,Title,Secondary Author(s),Illustrator(s),Translator(s),description,publishedDate,categories,cluster,pca1,pca2,pca3
906,1262,Texas,North East,Administrator,December 2021,Banned from Libraries,"Huegel, Kelly",GLBTQ*: The Survival Guide for Queer & Questioning Teens,,,,"LGBTQ is the indispensable resource for lesbian, gay, bisexual, transgender, queer, and questioning teens--and their allies. This fully revised and updated third edition includes current information on LGBTQ terminology, evolving understandings of gender identity and sexual identity, LGBTQ rights, and much more. Other advice covers topics such as coming out, confronting prejudice, getting support, making healthy choices, and thriving in school and beyond. Resources point the way to books and websites with more information, and quotes from LGBTQ teens (and allies) share stories of personal experiences. Created with input from PFLAG, GLSEN, GLAAD, and others, this book is for young people who are beginning to question their sexual orientation or gender identity, those who are ready to work for LGBTQ rights, and those who may need advice, guidance, or reassurance that they are not alone.",2018,bisexuals,5,6.489635,0.47376567,0.33140984
907,1264,Texas,North East,Administrator,December 2021,Banned from Libraries,"Hurwin, Davida Wills",Freaks and Revelations,,,,"This raw, moving novel follows two teenagers-one, a Mohawk-wearing 17-year-old violent misfit; the other, a gay 13-year-old cast out by his family, hustling on the streets and trying to survive. Acclaimed author Davida Wills Hurwin creates a riveting narrative told in alternating perspectives of their lives before and after the violent hate crime that changed both their futures. This tragic but ultimately inspirational journey of two polarized teens, their violent first meeting, and their peaceful reunion years later is an unforgettable story of survival and forgiveness. This story is inspired by the real lives of Matthew Boger and Timothy Zaal, who have shared their story on The Oprah Winfrey Show and NPR.",2009-11-04,young adult fiction,8,-0.47775903,1.6091863,2.875133
908,1265,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hutchinson, Shaun David",At the Edge of the Universe,,,,"From the author of We Are the Ants and The Five Stages of Andrew Brawley comes the heartbreaking story of a boy who believes the universe is slowly shrinking as things he remembers are being erased from others’ memories. Tommy and Ozzie have been best friends since the second grade, and boyfriends since eighth. They spent countless days dreaming of escaping their small town—and then Tommy vanished. More accurately, he ceased to exist, erased from the minds and memories of everyone who knew him. Everyone except Ozzie. Ozzie doesn’t know how to navigate life without Tommy, and soon he suspects that something else is going on: that the universe is shrinking. When Ozzie is paired up with new student Calvin on a physics project, he begins to wonder if Calvin could somehow be involved. But the more time they spend together, the harder it is for him to deny the feelings developing between them, even if he still loves Tommy. But Ozzie knows there isn’t much time left to find Tommy—that once the door closes, it can’t be opened again. And he’s determined to keep it open as long as it takes to get his boyfriend back.",2017-02-07,juvenile fiction,3,-2.3505237,0.34532976,1.9105963
909,1267,Texas,North East,Administrator,December 2021,Banned from Libraries,"Hutchinson, Shaun David",The Five Stages of Andrew Brawley,,,,"Convinced he should have died in the accident that killed his parents and sister, sixteen-year-old Drew lives in a hospital, hiding from employees and his past, until Rusty, set on fire for being gay, turns his life around. Includes excerpts from the superhero comic Drew creates.",2016-01-19,young adult fiction,3,-1.8203177,-0.23083535,4.624912
910,1270,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hyde, Catherine Ryan",Jumpstart the World,,,,"Sixteen-year-old Elle falls in love with Frank, the neighbor who helps her adjust to being on her own in a big city, but learning that he is transgendered turns her world upside-down.",2011,juvenile fiction,8,-2.9598858,2.4910922,2.78331
911,1278,Texas,North East,Administrator,December 2021,Banned from Libraries,"Johnson, Varian",My Life as a Rhombus,,,,"A 2009 New York Public Library ""Stuff for the Teen Age"" Selection Boys + Love = Trouble Right? Staying on track at school means a boy-free equation for Rhonda Lee, who spends most evenings doing homework and eating Chinese takeout with her dad. While Rhonda needs a scholarship for college, some kids at her private high school, like beautiful Sarah Gamble, seem to coast along on popularity and their parents' money. When forced to tutor Sarah in trigonometry, Rhonda recognizes all too well the symptoms-queasiness, puking, exhaustion-that Sarah is trying to mask. On a sudden impulse, Rhonda shares her past with Sarah. Exchanging their secrets adds up to more truths than either girl would have dreamed. ""Without a bit of preaching, [this is] a story of two teenage girls who are faced with the consequences of unplanned pregnancies. [Readers] will love the emotional peaks and valleys of the tale."" -Ellen Wittlinger, author of Hard Love ""A sensitive and powerful friendship story. Realistic and heartfelt."" -Cynthia Leitich Smith, author of Tantalize",2007,juvenile fiction,10,-1.4714916,-0.7739249,-1.9772885
912,1279,Texas,North East,Administrator,December 2021,Banned from Libraries,"Jones, Carrie",Tips on Having a Gay (Ex) Boyfriend (Belle Series),,,,"Belle is a high school junior who expects to marry her long-term boyfriend one day, until he tells her and their entire small Maine town that he is gay, and both face prejudice and violence even as they enter new relationships and try to remain friends.",2007,young adult fiction,8,-4.18431,1.8603976,1.8542322
913,1280,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Jones, Patrick",Combat Zone,,,,"Having a parent return from military duty is a dream come true. But sometimes, coming home comes with problems. Justin's got it all planned out. He's going to graduate high school, enroll at the Naval Academy, and become a Navy SEAL, just like his dad. But when he finds out a secret his dad has been keeping, Justin's world is turned upside down. He feels betrayed by his biggest role model. When his aggression spins out of control, his future with the Navy is on the line. Justin might not be in combat yet, but he'll have to figure how to readjust under pressure before it's too late.",2015-11-01,juvenile fiction,6,-5.119626,2.3640862,1.9439968
914,1282,Texas,North East,Administrator,December 2021,Banned from Libraries,"Juettner, Bonnie",Abortion,,,,Examines the history of abortions in the United States and both the pro-life and pro-choice stances involved in the issue.,2007,juvenile nonfiction,4,7.6679616,5.5171356,3.5780787
915,1284,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Karcz, Lauren",The Gallery of Unfinished Girls,,,,"A beautiful and evocative look at identity and creativity, The Gallery of Unfinished Girls is a stunning debut in magical realism. Perfect for fans of The Walls Around Us and Bone Gap. Mercedes Moreno is an artist. At least, she thinks she could be, even though she hasn’t been able to paint anything worthwhile in the past year. Her lack of inspiration might be because her abuela is in a coma. Or the fact that Mercedes is in love with her best friend, Victoria, but is too afraid to admit her true feelings. Despite Mercedes’s creative block, art starts to show up in unexpected ways. A piano appears on her front lawn one morning, and a mysterious new neighbor invites Mercedes to paint with her at the Red Mangrove Estate. At the Estate, Mercedes can create in ways she hasn’t ever before. But Mercedes can’t take anything out of the Estate, including her new-found clarity. Mercedes can’t live both lives forever, and ultimately she must choose between this perfect world of art and truth and a much messier reality. “A dreamy and subtle work of art, The Gallery of Unfinished Girls explores love, family, and the maddening, magical drive to create art.”—Adi Alsaid, author of Let's Get Lost",2017-07-25,young adult fiction,10,-1.6227725,0.70842385,-1.0348096
916,1285,Texas,North East,Administrator,December 2021,Banned from Libraries,"Karre, Elizabeth",The Fight (Surviving Southside Series),,,,"Audisee® eBooks with Audio combine professional narration and sentence highlighting to engage reluctant readers! ""Was he . . . you know?"" Bella doesn't know if Dominic was gay or not, but she knows he was bullied. And she knows the adults who could have helped didn't because of some stupid policy. Now Dominic's dead. It's never been Bella's thing to stand up for a cause, but for some reason, this fight has become her fight.",2017-01-01,young adult fiction,2,-0.9242216,0.49610454,1.184834
917,1287,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Keil, Melissa",Life in Outer Space,,,,"A YA romantic comedy about a movie geek & the dream girl he refuses to fall in love with. Sam Kinnison is a geek, and he’s totally fine with that. He has his horror movies, his nerdy friends, World of Warcraft – and until Princess Leia turns up in his bedroom,worry about girls he won't. Then Camilla Carter arrives on the scene. She’s beautiful, friendly and completely irrelevant to his plan. Sam is determined to ignore her, except that Camilla has a plan of her own – and he seems to be a part of it! Sam believes that everything he needs to know he can learn from the movies. But perhaps he’s been watchingthe wrong ones.Life in Outer Space is Melissa Keil’s brilliantly sweet and funny YA debut. It’s also the first book to be signed up through the Ampersand Project, Hardie Grant Egmont’s initiative for emerging YA writers.",2013-02-01,young adult fiction,3,-3.8713937,-2.1810656,1.5089353
918,1290,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Kern, Peggy",The Test (Bluford High Series),,,,"After ignoring the changes in her body over the last few weeks, Bluford High student Liselle Mason realizes she can't forget her brief relationship with Oscar Price and struggles to cope with her increasing panic after her brother notices her growing belly.",2011,african american teenagers,6,-5.376594,1.926111,1.8172529
919,1291,Texas,North East,Administrator,December 2021,Banned from Libraries,"Kerr, M. E.","Hello, I Lied",,,,"From the Margaret A. Edwards Award–winning author of Deliver Us from Evie comes a novel about a gay teenager who discovers a different kind of love during an unforgettable summer in the Hamptons I’d always think of it as the summer that I loved a girl . . . Seventeen-year-old Lang Penner and his mother are spending the summer in the caretaker’s cottage at Roundelay, the sprawling East Hampton estate of legendary rocker Ben Nevada. Lang passes the time walking on the beach and hoping for a glimpse of his idol. When they finally meet, Nevada is very different from the man Lang imagined. He finds himself confiding in the retired star about his homosexuality. When Nevada hears Lang’s secret, he figures Lang is a safe bet to show the seventeen-year-old daughter of some friends from France a good time in the Hamptons. This was supposed to be the summer of Lang’s coming out. He even has a boyfriend, Alex, a twenty-year-old actor living in Manhattan. The last thing he expects is to become infatuated with a girl. “Hello,” I Lied is a story about all kinds of love—from friendship to physical attraction to hero worship—as a teenager bravely confronts his sexuality. This ebook features an illustrated personal history of M. E. Kerr including rare images from the author’s collection.",2013-12-17,young adult fiction,8,-2.6002269,-1.160389,2.6427317
920,1292,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Keyser, Amber J.",Underneath It All: A History of Women's Underwear,,,,"For most of human history, the garments women wore under their clothes were hidden. The earliest underwear provided warmth and protection. But eventually, women's undergarments became complex structures designed to shape their bodies to fit the fashion ideals of the time. In the modern era, undergarments are out in the open, from the designer corsets Madonna wore on stage to Beyoncé's pregnancy announcement on Instagram. This feminist exploration of women's underwear reveals the intimate role lingerie plays in defining women's bodies, sexuality, gender identity, and body image. It is a story of control and restraint but also female empowerment and self-expression. You will never look at underwear the same way again.",2018-03-01,young adult nonfiction,4,2.220842,3.7231355,-0.72481525
921,1293,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Khan, Sabina",The Love and Lies of Rukhsana Ali,,,,"Seventeen-year-old Rukhsana Ali tries her hardest to live up to her conservative Muslim parents' expectations, but lately she's finding that impossible to do. She rolls her eyes when they blatantly favour her brother and saves her crop tops and makeup for parties her parents don't know about. If she can just hold out another few months, Rukhsana will be out of her familial home and away from her parents' ever-watchful eyes at Caltech, a place where she thinks she can finally be herself. But when she is caught kissing her girlfriend Ariana, her devastated parents take Rukhsana to Bangladesh, where everything she had been planning is out of reach. There, immersed in a world of tradition and arranged marriages, Rukhsana finds the perspective she's been looking for in her grandmother's old diary. The only question left for her to answer is: Can she fight for the life she wants without losing her family in the process?",,juvenile fiction,6,-4.5785384,3.217195,-0.57785237
922,1297,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Klise, James",Love Drugged,,,,Fifteen-year old Jamie Bates will do anything to hide the fact that he’s gay. Could an experimental new drug that’s supposed to “cure” his attraction to guys be the answer?,2010-09-08,young adult fiction,8,0.45082235,-1.4935623,5.2794437
923,1299,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Knowles, Jo",Pearl,,,,"Bean (née Pearl) and Henry, misfits and best friends, have the strangest mothers in town. Henry's mom Sally never leaves the house. Bean's mom Lexie, if she is home, is likely nursing a hangover or venting to her friend Claire about Bean's beloved grandfather Gus, the third member of their sunny household. Gus's death unleashes a host of family secrets that brings them all together. And they threaten to change everything—including Bean's relationship with Henry, her first friend, and who also might turn out to be her first love.",2011-07-19,young adult fiction,8,-2.3286846,-0.55265284,-0.6795085
924,1300,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Knowles, Jo",See You at Harry's,,,,"Starting middle school brings all the usual challenges — until the unthinkable happens, and Fern and her family must find a way to heal. Twelve-year-old Fern feels invisible. It seems as though everyone in her family has better things to do than pay attention to her: Mom (when she’s not meditating) helps Dad run the family restaurant; Sarah is taking a gap year after high school; and Holden pretends that Mom and Dad and everyone else doesn’t know he’s gay, even as he fends off bullies at school. Then there’s Charlie: three years old, a “surprise” baby, the center of everyone’s world. He’s devoted to Fern, but he’s annoying, too, always getting his way, always dirty, always commanding attention. If it wasn’t for Ran, Fern’s calm and positive best friend, there’d be nowhere to turn. Ran’s mantra, “All will be well,” is soothing in a way that nothing else seems to be. And when Ran says it, Fern can almost believe it’s true. But then tragedy strikes- and Fern feels not only more alone than ever, but also responsible for the accident that has wrenched her family apart. All will not be well. Or at least all will never be the same.",2012-05-08,juvenile fiction,10,-3.3701487,2.5205877,-1.2536452
925,1301,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Koertge, Ron",Boy Girl Boy,,,,"Larry, Teresa, and Elliot, three troubled high school seniors who plan to run away together from Illinois to California after graduation, try to figure out who they are and who they want to be.",2005,juvenile fiction,8,-2.103985,4.2306476,0.47725436
926,1302,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Konigsberg, Bill",Honestly Ben (Openly Straight Series),,,,"In the companion to Openly Straight, Ben confronts pressure at school, repression at home, and his passion for two very different people in figuring out what it takes to be Honestly Ben.",2017-03-28,juvenile fiction,7,2.1301959,0.32165474,3.6043832
927,1304,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Konigsberg, Bill",The Bridge,,,,"Two teenagers, strangers to each other, have decided to jump from the same bridge at the same time. But what results is far from straightforward in this absorbing, honest lifesaver from acclaimed author Bill Konigsberg. Aaron and Tillie don't know each other, but they are both feeling suicidal, and arrive at the George Washington Bridge at the same time, intending to jump. Aaron is a gay misfit struggling with depression and loneliness. Tillie isn't sure what her problem is -- only that she will never be good enough. On the bridge, there are four things that could happen: Aaron jumps and Tillie doesn't. Tillie jumps and Aaron doesn't. They both jump. Neither of them jumps. Or maybe all four things happen, in this astonishing and insightful novel from Bill Konigsberg.",2020-09,young adult fiction,8,-3.340788,0.9458634,2.8600016
928,1307,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"La Sala, Ryan",Reverie,,,,"A B&N's YA Book Club Pick * Walmart Buzz Pick * Indie Next Pick * Book of the Month Club YA Box A ""joyously, riotously queer"" (Kirkus) young adult fantasy from debut author Ryan La Sala, Reverie is a wildly imaginative story about dreams becoming reality, perfect for fans of Adam Silvera and Laini Taylor. A few weeks ago, Kane Montgomery was in an accident that robbed him of his memory. The only thing he knows for certain is that the police found him half-dead in the river. The world as he knows it feels different—reality seems different. And when strange things start happening around him, Kane isn't sure where to turn. And then three of his classmates show up, claiming to be his friends and the only people who can tell him what's truly going on. Kane doesn't know what to believe or who he can trust. But as he and the others are dragged into increasingly fantastical dream worlds drawn from imagination, it becomes clear that there is dark magic at work. Nothing in Kane's life is an accident, and only he can keep the world itself from unraveling. Reverie is an intricate and compelling LGBT young adult book about the secret worlds we hide within ourselves and what happens when they become real. Praise for Reverie: ""This outstanding debut novel will light readers' imaginations on fire...Imaginative, bold, and full of queer representation, this is a must-purchase for YA collections.""—School Library Journal *STARRED REVIEW* ""This fantasy offers readers something wonderfully new and engaging...a gem of a novel that is as affirming as it is entertaining.""—The Bulletin of the Center for Children's Books ""The story's many LGBTQ characters are prominently represented and powerfully nuanced.""—Publishers Weekly ""A darkly imagined, riveting fantasy... thrilling.""—Shelf Awareness ""Joyously, riotously queer... The themes of creating one's own reality and fighting against the rules imposed by the world you're born into will ring powerfully true for many young readers.""—Kirkus Reviews",2019-12-03,young adult fiction,1,-1.559894,-3.3839958,1.5242264
929,1308,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"LaCour, Nina",Everything Leads to You,,,,"Feeling unfulfilled in her romantic life in spite of a promising career in the L.A. film scene, talented set designer Emi discovers a mysterious letter at an estate sale that prompts her investigation into a movie icon's hidden life. By the award-winning author of Hold Still.",2015,juvenile fiction,6,-3.3643982,0.23983516,0.06934339
930,1311,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Larimore, Walter",The Ultimate Guys' Body Book: Not-So-Stupid Questions About Your Body,"Francis, Guy",,,"You Mean I Can Ask That? Boys’ bodies do the craziest things! They can knock a baseball out to right field or trip in front of class. But at a certain point, those bodies start to grow up and go through some wild changes. You might be wondering things like: Why don't I look like him? How can I get buff without steroids? And how can I handle that talk my parents want to have—you know, the talk? Yikes! Guy Talk answers all the important questions you want answers to but would rather not ask, mixing fun with great advice for growing guys.",2012-03-20,juvenile nonfiction,3,-0.95200497,-0.6338978,-0.40624988
931,1312,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Lauren, Christina",Autoboyography,,,,"High school senior Tanner Scott has hidden his bisexuality since his family moved to Utah, but he falls hard for Sebastian, a Mormon mentoring students in a writing seminar Tanner's best friend convinced him to take.",2017-09-12,juvenile fiction,8,-2.3254528,-0.14217761,1.4745793
932,1313,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Lawson, Jamie","Rainbow Revolutions: Power, Pride and Protest in the Fight for Queer Rights",,"Knight, Eve Lloyd",,"A BEAUTIFULLY ILLUSTRATED BOOK ABOUT THE FIGHT FOR QUEER RIGHTS Around one o'clock in the morning on June 28, 1969, police raided the Stonewall Inn, a gay bar in New York, sparking days of intense rioting. What happened at Stonewall sent shockwaves around the world, and became a defining moment for the LGBTQ+ community. From the impassioned speeches of bold activists Karl Ulrichs and Audre Lorde to the birth of Pride and queer pop culture, Rainbow Revolutions charts the dramatic rise of the LGBTQ+ rights movement, and celebrates the courageous individuals who stood up and demanded recognition. With bold and beautiful illustrations by pop artist Eve Lloyd Knight.",2020-04,young adult nonfiction,7,2.9167452,-1.8027353,0.8642167
933,1314,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Lawson, Richard",All We Can Do Is Wait,,,,"In the wake of a bridge collapse, a group of Boston teenagers meet in a hospital waiting room and go through an emotional and life-changing night as they are forced to face the reality of their pasts...and the prospect of very different futures.",2019-02-05,,4,-0.57054865,5.3001976,1.5776215
934,1315,Texas,North East,Administrator,December 2021,Banned from Libraries,"Lecesne, Celeste",Absolute Brightness,,,,"One actor portrays every character in a small Jersey Shore town as he unravels the story of Leonard Pelkey, a tenaciously optimistic and flamboyant fourteen-year-old boy who goes missing. A luminous force of nature whose magic is only truly felt once he is gone, Leonard becomes an unexpected inspiration as the town’s citizens question how they live, who they love, and what they leave behind.",2017-03-16,performing arts,3,-1.4101908,-2.7775865,1.9798437
935,1316,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Lee, Stacey",The Downstairs Girl,,,,"""By day, seventeen-year-old Jo Kuan works as a lady's maid for the cruel daughter of one of the wealthiest men in Atlanta. But by night, Jo moonlights as the pseudonymous author of a newspaper advice column for the genteel Southern lady, Dear Miss Sweetie. When her column becomes wildly popular, she uses the power of the pen to address some of society's ills, but she's not prepared for the backlash that follows when her column challenges fixed ideas about race and gender. While her opponents clamor to uncover the secret identity of Miss Sweetie, a mysterious letter sets Jo off on a search for her own past and the parents who abandoned her as a baby. But when her efforts put her in the crosshairs of Atlanta's most notorious criminal, Jo must decide whether she, a girl used to living in the shadows, is ready to step into the light.""--Publisher's description.",2021-03-02,young adult fiction,6,-2.460194,2.7461326,-0.74002546
936,1318,Texas,North East,Administrator,December 2021,Banned from Libraries,"Levithan, David",Love Is the Higher Law,,,,"Three New York City teens--Claire, Jasper, and Peter--express their reactions to the bombing of the World Trade Center on September 11, 2001, and its impact on their lives and the world.",2010,juvenile fiction,4,0.700133,2.0310473,1.7234529
937,1320,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Levithan, David",Wide Awake,,,,"In the not-too-distant future, when a gay Jewish man is elected president of the United States, sixteen-year-old Duncan examines his feelings for his boyfriend, his political and religious beliefs, and tries to determine his rightful place in the world. Reprint.",2008,juvenile fiction,8,-0.33423737,-1.7934692,7.267703
938,1321,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Light, Kate",Gender Identity: The Search for Self,,,,"As acceptance for the LGBT community grows, our society is coming to understand that many gender identities are not binary. Young adulthood is a critical time for exploring and coming to terms with gender identity. Readers learn about non-binary identities and the issues the community still faces despite the progress that has been made in the 21st century. Fact boxes highlight transgender and non-binary role models in the media, and contact information for LGBT organizations is provided. This volume is an important resource for young adults of all genders and their allied friends and family.",2016-12-15,juvenile nonfiction,5,4.660629,4.3847346,-0.061139323
939,1323,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Linn, Laurent",Draw the Line,,,,"After a hate crime occurs in his small Texas town, Adrian Piper must discover his own power, decide how to use it, and know where to draw the line in this “powerful debut” novel (Publishers Weekly, starred review) exquisitely illustrated by the author. Adrian Piper is used to blending into the background. He may be a talented artist, a sci-fi geek, and gay, but at his Texas high school those traits would only bring him the worst kind of attention. In fact, the only place he feels free to express himself is at his drawing table, crafting a secret world through his own Renaissance-art-inspired superhero, Graphite. But in real life, when a shocking hate crime flips his world upside down, Adrian must decide what kind of person he wants to be. Maybe it’s time to not be so invisible after all—no matter how dangerous the risk.",2016-05-17,young adult fiction,2,-1.4835544,-0.86604106,1.4940087
940,1324,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Lo, Malinda",A Line in the Dark,,,,"Dark, disturbing, and full of twists, this cleverly crafted mystery--a story of love, loyalty, and murder--is sure to delight readers craving a queer teenage girl antihero just as morally complicated as her male counterparts.",2017,young adult fiction,1,1.6038667,-1.0616975,2.747388
941,1328,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Love, Jessica",Julián at the Wedding (Julián Series),,,,"The star of Julián Is a Mermaid makes a joyful return--and finds a new friend--at a wedding to be remembered. Julián and his abuela are going to a wedding. Better yet, Julián is in the wedding. Weddings have flowers and kissing and dancing and cake. And this wedding also has a new friend named Marisol. It's not long before Julián and Marisol set off for some magic and mischief of their own, and when things take an unexpected turn, the pair learns that everything is easier with a good friend by your side. Jessica Love returns with a joyful story of friendship and individuality in this radiant follow-up to Julián Is a Mermaid.",2020-10-06,juvenile fiction,8,-2.092846,-2.1615503,-2.543
942,1330,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Lundin, Britta",Ship It,,,,"CLAIRE is a sixteen-year-old fangirl obsessed with the show Demon Heart. FOREST is an actor on Demon Heart who dreams of bigger roles. When the two meet at a local Comic-Con panel, it's a dream come true for Claire. Until the Q&A, that is, when Forest laughs off Claire's assertion that his character is gay. Claire is devastated. After all, every last word of her super-popular fanfic revolves around the romance between Forest's character and his male frenemy. She can't believe her hero turned out to be a closed-minded jerk. Forest is mostly confused that anyone would think his character is gay. Because he's not. Definitely not. Unfortunately for Demon Heart, when the video of the disastrous Q&A goes viral, the producers have a PR nightmare on their hands. In order to help bolster their image within the LGBTQ+ community—as well as with their fans—they hire Claire to join the cast for the rest of their publicity tour. What ensues is a series of colorful Comic-Con clashes between the fans and the show that lead Forest to question his assumptions about sexuality and help Claire come out of her shell. But how far will Claire go to make her ship canon? To what lengths will Forest go to stop her and protect his career? And will Claire ever get the guts to make a move on Tess, the very cute, extremely cool fanartist she keeps running into? Ship It is a funny, tender, and honest look at all the feels that come with being a fan.",2018-05-01,young adult fiction,8,-3.607531,-0.9391819,3.5711074
943,1331,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Lurie, April",The Less-dead,,,,"Noah Nordstrom has been dissing the religious beliefs of his father, who hosts a popular Christian radio show and whom Noah accuses of spreading hate. When two local gay teens are murdered, Noah’s anti-evangelism intensifies—he’s convinced that the killer is a caller on his dad’s program. Then Noah meets Will Reed, a cool guy. But when he learns that Will is gay, Noah gets a little weirded out. Especially since Will seems really into him. Noah gives Will the brush-off. Meanwhile, the killer is still at large . . . and soon Noah finds the next victim. It’s Will. Racked with guilt, Noah decides to investigate. He knows the serial killer is targeting gay teens, but only those who live in foster homes, whose deaths are not that important to society; they are the less-dead. Noah, however, is determined to prove that someone cares. With the help of Will’s journal, which he pocketed at the scene of the crime and in which the killer has written clues, Noah closes in on an opponent more dangerous than he can guess.",2010-01-12,young adult fiction,3,-1.129191,-1.5830863,4.716275
944,1333,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Mac, Carrie",10 Things I Can See From Here,,,,"""Maeve, a sufferer of severe anxiety, moves in with her recovering alcoholic father and her very pregnant stepmother and falls for a girl who is not afraid of anything""--",2020-01-28,young adult fiction,6,-3.6188257,3.3249848,-1.0152189
945,1334,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Mac, Carrie",Crush,,,,"Because of a moment of indiscretion, Hope's parents send her to New York to spend the summer with her hipster sister while they travel to Thailand. Miserable, Hope ends up meeting Nat, and developing a powerful crush. The only problem is that Nat is a girl. Hope is pretty sure she isn't gay. Or is she? Struggling with new feelings, fitting in and a strange city far from home, Hope finds that love—and acceptance—comes in many different forms.",2006-03-01,young adult fiction,10,-3.4429028,2.0749156,-2.377394
946,1335,Texas,North East,Administrator,December 2021,Banned from Libraries,"Mac, Carrie",The Way Back,,,,"Things go from bad to worse when Colby, who is drug-addicted, loses her home and then ends up pregnant. Maybe now she will find a real family.",2014-09,young adult fiction,6,-2.3401554,4.8748803,1.3103738
947,1337,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Maison, Corey",Identity: A Story of Transitioning,"Anthony, Zuiker","Smith, Ahmara",,"What do you do when you are born as one gender, but feel yourself to be another? Gender dysphoria affects thousands of people worldwide, but has been ignored or ridiculed in our culture. With this graphic novel, Corey Maison boldly shares her story of transitioning, so that other kids with gender dysphoria and related conditions will no longer feel so isolated, hopeless, or lost. Corey Maison was born a girl, trapped in a boy’s body. Growing up, Corey was more interested in dolls than trucks; in dresses than jeans. Everything about Corey was female . . . except her physicality. Known as gender dysphoria, this condition is devastating if not acknowledged. But society is slow to be sympathetic to the idea that a person’s gender is not entirely based on physiology, but instead is fluid, and a combination of emotional and psychological self-awareness along with, or sometimes more importantly, physical characteristics. IDENTITY tells the complex and moving tale of a young person who knows that their true gender is not the one they were assigned at birth. With unconditional love and support from her mother, Corey successfully starts the transition process with hopes of being comfortable in her own skin, being accepted by others, and raising awareness of young people who wish to transition. At 16-years-old, Corey has become a voice for other trans teens, battling bullies and helping others who are on their own individual journeys of identity.",2020-09-22,juvenile nonfiction,4,1.048849,4.1535597,1.2084227
948,1338,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Manzer, Jenny",My Life as a Diamond,,,,"Ten-year-old Caspar ""Caz"" Cadman loves baseball and has a great arm. He loves the sounds, the smells, the stats. When his family moves from Toronto to a suburb of Seattle, the first thing he does is try out for the local summer team, the Redburn Ravens. Even though Caz is thrilled when he makes the team, he worries because he has a big secret. No one knows that back in Toronto, Caz used to live life as a girl named Cassandra. And it's nobody's business. Caz will tell his new friends when he's ready. But when a player on a rival team starts snooping around, Caz's past is revealed, and Caz worries it will be Toronto all over again. Will Caz's teammates rally behind their star pitcher? Or will Caz be betrayed once more? A heartwarming, funny, fast-paced story about the bravery it takes to live as your true self, no matter the cost.",2018-09-25,juvenile fiction,3,-3.7500796,-1.5007597,-0.49659494
949,1339,Texas,North East,Administrator,December 2021,Banned from Libraries,"Marcovitz, Hal",Teens & Sex,,,,"The teenage pregnancy rate has dropped in recent years, yet each year more than 320,000 teen girls in the United States give birth. This volume examines the changing attitudes of teenagers toward contraception, abstinence, sexually transmitted diseases, media influences, and other issues involving young people and sex.",2014-09-02,juvenile nonfiction,4,1.7592479,4.275925,1.373326
950,1340,Texas,North East,Administrator,December 2021,Banned Pending Investigation,"McAdam, Tash",Blood Sport,,,,"In this high-interest accessible novel for teen readers, Jason is determined to find out the truth about his sister's death.",2021-04-13,young adult fiction,1,-0.5511818,-0.020084295,1.5589213
